product_name,product_series
AF265-30-11-13,1SFL547002R1311
F205-40-11-13,1SFL527102R1311
AF190-40-11-13,1SFL487102R1311
AF190-30-11-14,1SFL487002R1411
AF190-30-11-13,1SFL487002R1311
AF190-30-11-11,1SFL487002R1111
AF146-30-11-14,1SFL467001R1411
AF146-30-11-13,1SFL467001R1311
AF140-40-11-13,1SFL447101R1311
AF140-30-11-14,1SFL447001R1411
AF140-30-11-13,1SFL447001R1311
AF116-40-11B-13,1SFL427102R1311
AF116-30-11-14,1SFL427001R1411
AF116-30-11-13,1SFL427001R1311
BEA38-4,1SBN082306T2000
BEA26-4,1SBN082306T1000
BEA16-4,1SBN081306T1000
VM96-4,1SBN033405T1000
VEM4,1SBN030111R1000
TEF4-OFF,1SBN020114R1000
TEF4-ON,1SBN020112R1000
CA4-22M,1SBN010140R1122
CA4-40E,1SBN010140R1040
CA4-22E,1SBN010140R1022
CA4-10,1SBN010110R1010
CA4-01,1SBN010110R1001
AF96-30-00-14,1SBL407001R1400
AF96-30-00-13,1SBL407001R1300
AF96-30-11-11,1SBL407001R1111
AF80-40-00-13,1SBL397201R1300
AF80-30-00-14,1SBL397001R1400
AF80-30-00-13,1SBL397001R1300
AF80-30-11-11,1SBL397001R1111
OTM2500E4CM230C,1SCA112713R1001
OTM2000E4CM230C,1SCA112712R1001
OTM125F4CMA230V,1SCA120097R1001
OTM100F4CMA230V,1SCA120098R1001
AF96-30-00-14 250-500V DC,1SBL407001R1400
T7S 1600 PR231/P LS/I In=1600A 4p F F M,1SDA063018R1
UVR T7-T7M-X1 220...240Va.c./d.c.,1SDA063552R1
SCR T7M-X1 220...240Va.c./d.c.,1SDA063550R1
TF96-96,1SAZ911201R1006
TF96-87,1SAZ911201R1005
TF96-78,1SAZ911201R1004
HKF1-11 Aux.-contact for frontmounting,1SAM201901R1001
HK1-11 Aux.-contact,1SAM201902R1001
KIT DIN50022 XT1 RC PIAS.DI FIS.PRO.DIN,1SDA067135R1
OT160EV04P,1SCA120521R1001
OT80F4N2,1SCA105413R1001
OT63F4N2,1SCA105365R1001
OT125F4N2,1SCA105051R1001
VM205/265,1SFN035203R1000
VM140/190,1SFN034403R1000
VM19,1SFN030300R1000
A3N 630 ELT-LI In=630 4p F F,1SDA066574R1
A3N 400 TMF 400-4000 4p F F InN=100%In,1SDA066569R1
A2B 250 TMF 250-2500 4p F F,1SDA066559R1
A2B 250 TMF 200-2000 4p F F,1SDA066557R1
AF65-30-00-14,1SBL387001R1400
AF65-30-00-13,1SBL387001R1300
AF65-30-11-11,1SBL387001R1111
AF52-40-00-13,1SBL367201R1300
AF52-30-00-14,1SBL367001R1400
AF52-30-00-13,1SBL367001R1300
OTM63F4CMA230V,1SCA120101R1001
OTM800E4CM230C,1SCA022872R8340
OTM1600E4CM230C,1SCA112704R1001
OTM1000E4CM230C,1SCA112703R1001
OTM1250E4CM230C,1SCA112702R1001
OTM630E4CM230C,1SCA022873R1990
OTM160E4CM230C,1SCA022848R1510
AF205-30-11-14 ,1SFL527002R1411
AF205-30-11-13,1SLM004100A1202
